"","id","familyna","firstnam","response","sex","age","assassim","blockcod","prefectu","prefdist","partycod","incumben","smdpr","won","evaluati","小泉評価理由","attitude","小泉支持理由","admitype","zohan","望ましい首相","yusei","understa","yuseifut","nenkin","usetax","usecontx","消費税率","yasukuni","tsuitou","ww2","iraq","femaleem","constitu","改正分野","whencons","yearcons","defence","treaty","attack","un","nkorea","collecti","smallgov","lifetime","publecen","keynes","safety","foreign","ideology"
"11",11,"佐藤","静雄","返送あり","男","63歳",NA,"北海道","北海道",4,"自民党","元","重複あり","落選","どちらかと言えば評価できない","経済対策、外交政策が甘い。郵政民営化法案も、やり方によっては、成立出来たと思う。","どちらかと言えば支持する","改革に燃えている。","自民・公明連立","政党を維持したまま，自民，公明両党と連立する","","賛成","わからない","3事業ともになるべく早く民営すべきだ","将来的には3つとも一元化すべきだ","全額税金","どちらかと言えば賛成","","基本的には首相は靖国神社に参拝すべきだが，外交関係などに配慮して，柔軟に対応することも必要だ","反対","自衛のためのやむを得ない戦争だった","今年末の派遣期限が来たら撤退すべきだ",NA,"改正すべきだ","9条自衛隊の存在を明記する","　　年後","3年後","どちらかと言えば賛成","どちらとも言えない","賛成","賛成","どちらかと言えば賛成","どちらかと言えば賛成","どちらかと言えば賛成","どちらかと言えば賛成","どちらかと言えば賛成","どちらかと言えば賛成","どちらかと言えば賛成","どちらとも言えない",NA
"12",12,"鉢呂","吉雄","返送あり","男","57歳",NA,"北海道","北海道",4,"民主党","前","小選挙区のみ","小選挙区で当選","全く評価できない","徹底した強者の論理による政治手法に賛成できない。","支持しない","","民主単独",NA,"岡田克也","反対","理解できる","郵政公社の経営状況を見極めたうえで判断すべきだ","3つともできるだけ速やかに民営化すべきだ",NA,NA,"","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","",NA,NA,"反対","どちらとも言えない","反対","どちらかと言えば賛成","反対","反対","反対","どちらとも言えない","反対","反対","反対","賛成",NA
"13",13,"琴坂","禎子","返送あり","女","69歳",NA,NA,"北海道",4,"共産党","新","小選挙区のみ","落選","全く評価できない","「構造改革」の名の下に、年金制度、介護保険、医療費など国民の負担増を強行し、不況をさらに深刻にした。","支持しない","「構造改革」の名の下に、年金制度、介護保険、医療費など国民の負担増を強行し、不況をさらに深刻にしたにもかわらず、この先も、憲法改悪、庶民大増税などで、財界の横暴を許し、国民生活と日本経済をさらに悪化させる。","その他",NA,"日本共産党と他の政党・会派との連立は、現実的に難しいので、二大政党による憲法改悪・庶民大増税の悪政競い合いの政権の可能性が大きいのでふさわしい政治家はあげられません。","反対","理解できる","3事業とも国営を堅持すべきだ","その他","保険料と税金","反対","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","","改正は行われない",NA,"反対","反対","反対","どちらかと言えば賛成","反対","反対","反対","どちらかと言えば賛成","どちらかと言えば賛成","どちらとも言えない","反対","賛成","最も革新"
"14",14,"町村","信孝","返送あり","男","60歳",NA,"北海道","北海道",5,"自民党","前","重複あり","小選挙区で当選","評価できる点が多い","構造改革の実績と推進","大いに支持する","改革への姿勢","自民・公明連立",NA,"小泉純一郎","賛成","わからない","3事業ともになるべく早く民営すべきだ","将来的には3つとも一元化すべきだ","保険料と税金","どちらかと言えば賛成","",NA,NA,NA,"必要なら来年以降も派遣を継続すべきだ","女性天皇も認めるべきだ","改正すべきだ","積極的な国際協力","　　年後","3年後","どちらかと言えば賛成","どちらかと言えば賛成","どちらかと言えば賛成","賛成","どちらとも言えない","どちらとも言えない","どちらとも言えない","どちらかと言えば反対","どちらとも言えない","反対","どちらかと言えば賛成","どちらかと言えば反対",NA
"15",15,"小林","千代美","返送あり","女","36歳",NA,"北海道","北海道",5,"民主党","前","重複あり","落選","全く評価できない","弱いものと地方切捨ての構造改革及び近隣諸国など平和外交の失政","支持しない","他者を認めないなど独善的で排他的な政治姿勢","民主単独","民主党を含むあらゆる政党との連立を検討する","岡田克也","反対","理解できる","その他","その他","全額税金",NA,"","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","",NA,NA,"反対","反対","反対","反対","反対","反対","反対","どちらかと言えば賛成","どちらかと言えば賛成","反対","反対","賛成",NA
"16",16,"山崎","貴裕","返送あり","男","31歳",NA,NA,"北海道",5,"共産党","新","小選挙区のみ","落選","全く評価できない","医療費の値上げ、年金切り下げなど国民いじめの政治を促進、イラク侵略に協力","支持しない","憲法改悪、消費税など大増税を計画","その他",NA,"志位和夫","反対",NA,"3事業とも国営を堅持すべきだ","その他","保険料と税金","反対","消費税は引き上げない。公共事業の抑制、大企業の税率を元に戻す、軍事費を削減する。","首相は靖国神社に参拝すべきではない","反対","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","","改正は行われない",NA,"反対","反対","反対","反対","反対","反対","反対","どちらかと言えば賛成","どちらかと言えば賛成","どちらとも言えない","反対","賛成","最も革新"
"17",17,"金田","英行","返送あり","男","62歳",NA,"北海道","北海道",6,"自民党","前","重複あり","落選","評価できる点が多い","不良債権処理の実績","どちらかと言えば支持する","政策決定過程においては問題点はあるが、これまでの構造改革推進に向けての姿勢を評価したい","自民・公明連立","自民党に再合流する","小泉純一郎","賛成","理解できる","3事業ともになるべく早く民営すべきだ","将来的には3つとも一元化すべきだ","保険料と税金","どちらかと言えば反対","","基本的には首相は靖国神社に参拝すべきだが，外交関係などに配慮して，柔軟に対応することも必要だ","反対","どちらとも言えない","必要なら来年以降も派遣を継続すべきだ","女性天皇も認めるべきだ","改正すべきだ","地方自治","　　年後","10年後","賛成","賛成","反対","賛成","反対","賛成","反対","賛成","賛成","どちらかと言えば賛成","どちらかと言えば賛成","どちらかと言えば反対",NA
"18",18,"佐々木","隆博","返送あり","男","56歳",NA,"北海道","北海道",6,"民主党","新","重複あり","小選挙区で当選","どちらかと言えば評価できない","結果として、弱者や地方を切り捨てる〓〓な政治となっている","支持しない","国会軽視、国会無視の独善的政治を行っている。","民主単独","民主党を含むあらゆる政党との連立を検討する","岡田克也","反対","理解できる","3事業とも国営を堅持すべきだ","3つともできるだけ速やかに民営化すべきだ","全額税金","どちらかと言えば賛成","3%程度","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","","改正は行われない",NA,"どちらかと言えば反対","どちらかと言えば反対","反対","賛成","どちらかと言えば反対","反対","反対","賛成","賛成","どちらかと言えば反対","どちらかと言えば賛成","賛成",NA
"19",19,"田辺","八郎","返送あり","男","62歳",NA,NA,"北海道",6,"共産党","新","小選挙区のみ","落選","全く評価できない","大企業優遇による国民負担増、靖国参拝など平和〓〓の欠如","支持しない","対米追随、大企業本位で国民生活圧迫","その他",NA,"可能であれば志位和夫","反対","理解できる","3事業とも国営を堅持すべきだ","その他","全額税金","反対","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","","改正は行われない",NA,"反対","反対","反対","どちらとも言えない","反対","反対","反対","賛成","賛成","どちらとも言えない","反対","賛成","最も革新"
"20",20,"北村","直人","返送あり","男","58歳","欠席・棄権","北海道","北海道",7,"自民党","前","重複あり","落選","評価できる点が多い","国民に対してわかりやすい話をしている","どちらかと言えば支持する","一心に行動している。","自民・公明連立","自民党に再合流する","古賀誠","賛成","理解できる","その他","3つともできるだけ速やかに民営化すべきだ","保険料と税金","どちらかと言えば賛成","行財政改革を行った上で10％","首相は靖国神社に参拝すべきだ","賛成","どちらとも言えない","今年末の派遣期限が来たら撤退すべきだ","女性天皇も認めるべきだ","改正すべきだ","憲法9条2項","　　年後","5年後","賛成","どちらとも言えない","どちらかと言えば反対","賛成","どちらかと言えば賛成","どちらかと言えば反対","賛成","どちらとも言えない","どちらかと言えば賛成","どちらとも言えない","どちらかと言えば反対","どちらとも言えない",NA
"21",21,"仲野","博子","返送あり","女","46歳",NA,"北海道","北海道",7,"民主党","前","重複あり","小選挙区で当選","全く評価できない","","支持しない","","民主単独",NA,"岡田克也","反対",NA,"3事業とも国営を堅持すべきだ","3つともできるだけ速やかに民営化すべきだ","保険料と税金","どちらかと言えば反対","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","","改正は行われない",NA,"反対","反対","どちらかと言えば反対","どちらかと言えば賛成","どちらかと言えば反対","反対","どちらかと言えば賛成","どちらかと言えば賛成","どちらかと言えば賛成","どちらとも言えない","反対","賛成",NA
"22",22,"村上","和繁","返送あり","男","45歳",NA,NA,"北海道",7,"共産党","新","小選挙区のみ","落選","全く評価できない","「構造改革」の名で痛み押し付けただけ","支持しない","増税計画に憲法改悪、「靖国」参拝による孤立など内政外交とも行き詰まり打開できない","その他",NA,"志位和夫","反対",NA,"その他","その他","保険料と税金","反対","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","",NA,NA,"反対","反対","反対","反対","反対","反対","反対","どちらかと言えば賛成","どちらかと言えば賛成","反対","反対","賛成","最も革新"
"23",23,"佐藤","健治","返送あり","男","48歳",NA,"北海道","北海道",8,"自民党","新","重複あり","落選","どちらかと言えば評価できる","自民党政権であるから","どちらかと言えば支持する","わかりやすい政治を目ざしているから","自民・公明連立",NA,"伊吹文明","賛成",NA,"その他","その他","保険料と税金","どちらかと言えば反対","",NA,"反対",NA,NA,NA,"改正すべきだ","前文","　　年後","4年後","どちらかと言えば賛成","どちらかと言えば賛成",NA,"賛成","賛成","賛成","どちらとも言えない",NA,NA,NA,NA,NA,NA
"24",24,"金田","誠一","返送あり","男","57歳",NA,"北海道","北海道",8,"民主党","前","重複あり","小選挙区で当選","全く評価できない","日本社会を「勝ち組」と大多数の「負け組」に二極化してしまった。","支持しない","二極化がさらに加速されている。","民主単独",NA,"岡田克也","反対","理解できる","3事業とも国営を堅持すべきだ","3つともできるだけ速やかに民営化すべきだ","保険料と税金","どちらかと言えば反対","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ",NA,"","わからない",NA,"反対","反対","反対","どちらとも言えない","反対","反対","反対","どちらとも言えない","賛成","どちらとも言えない","反対","賛成",NA
"25",25,"前川","一夫","返送あり","男","57歳",NA,NA,"北海道",8,"共産党","新","小選挙区のみ","落選","全く評価できない","構造改革の名のもとにしたのは、年金、医療、介護など社会保障制度の改悪、リストラ応援と賃金破壊など国民にはすさまじい痛みの連続であった。","支持しない","今後の空前の大増税計画。「強さを助け弱気をくじく」小泉改革は改革と呼べるものではない。","その他",NA,"現実に「２大政党」のどちらかとすれば望ましい人はいない。","反対","わからない","3事業とも国営を堅持すべきだ","その他","全額税金","反対","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","今年末の派遣期限が来たら撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","","改正は行われない",NA,"反対","反対","反対","反対","反対","反対","反対","賛成","賛成","どちらかと言えば賛成","反対","賛成","最も革新"
"26",26,"岩倉","博文","返送あり","男","55歳",NA,"北海道","北海道",9,"自民党","元","重複あり","落選","どちらかと言えば評価できる","","どちらかと言えば支持する","","自民・公明連立","自民党に再合流する","麻生太郎","賛成",NA,"3事業ともになるべく早く民営すべきだ","将来的には3つとも一元化すべきだ","保険料と税金","どちらかと言えば賛成","","首相は靖国神社に参拝すべきだ","反対","自衛のためのやむを得ない戦争だった","必要なら来年以降も派遣を継続すべきだ","女性天皇も認めるべきだ","改正すべきだ","９条","　　年後","5年後","どちらかと言えば賛成","どちらとも言えない","どちらかと言えば反対","賛成","どちらとも言えない","どちらとも言えない","どちらかと言えば反対","どちらとも言えない","賛成","どちらかと言えば賛成","どちらかと言えば賛成","どちらかと言えば賛成",NA
"27",27,"鳩山","由紀夫","返送あり","男","58歳",NA,"北海道","北海道",9,"民主党","前","重複あり","小選挙区で当選","全く評価できない","○小泉構造改革は、ほとんどがまやかしだ。小泉総理の得意技は、名をとって実を捨てること。普通は名を捨てて実をとるのだが、この人は違う。
○小泉構造改革のまやかし①　道路公団民営化
　ムダな高速道路をつくることをやめるために道路公団を民営化するはずだったのが、","支持しない","同上","民主単独",NA,"岡田克也","反対","理解できる","3事業とも国営を堅持すべきだ","3つともできるだけ速やかに民営化すべきだ","全額税金","賛成","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきだ","すべて一から創り直すべき","　　年後","4年後","どちらとも言えない","どちらとも言えない","どちらとも言えない","賛成","どちらかと言えば賛成","どちらかと言えば反対","どちらかと言えば反対","どちらとも言えない","どちらとも言えない","どちらかと言えば反対","どちらとも言えない","賛成",NA
"28",28,"佐藤","昭子","返送あり","女","62歳",NA,NA,"北海道",9,"共産党","新","小選挙区のみ","落選","全く評価できない","「構造改革」の名による国民いじめ（社会保障の連続改悪）の政治だから","支持しない","政憲、大増税路線のゆきづまり政治、郵政民営化は国民にとって百害有って一利なしだから",NA,NA,"志位和夫","反対","理解できる","3事業とも国営を堅持すべきだ","その他","保険料と税金","反対","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","","改正は行われない",NA,"反対","反対","反対","どちらかと言えば賛成","反対","反対","反対","どちらかと言えば賛成","どちらかと言えば賛成","どちらとも言えない","どちらかと言えば反対","賛成","最も革新"
"29",29,"飯島","夕雁","返送あり","女","41歳","刺客","北海道","北海道",10,"自民党","新","重複あり","比例区で復活当選","評価できる点が多い","あらゆる改革を実行し、実際に経済活性化が進展しているから。","大いに支持する","今までこれほど分かりやすく実践〓を伴って行動している首相はいなかったと思う。","自民・公明連立",NA,"小泉純一郎","賛成","理解できない","3事業ともになるべく早く民営すべきだ","その他","保険料と税金",NA,"","首相は靖国神社に参拝すべきだ","反対","自衛のためのやむを得ない戦争だった","必要なら来年以降も派遣を継続すべきだ","女性天皇も認めるべきだ","改正すべきだ","積極的な国際協力","　　年後","3年後","どちらかと言えば賛成","どちらかと言えば賛成","どちらとも言えない","賛成","どちらとも言えない","どちらかと言えば賛成",NA,"どちらとも言えない","どちらかと言えば賛成","どちらとも言えない","どちらとも言えない","反対",NA
"30",30,"小平","忠正","返送あり","男","63歳",NA,"北海道","北海道",10,"民主党","前","重複あり","小選挙区で当選","全く評価できない","","支持しない","","民主単独",NA,"岡田克也","反対",NA,"郵政公社の経営状況を見極めたうえで判断すべきだ","3つともできるだけ速やかに民営化すべきだ","全額税金","どちらかと言えば賛成","社会保障の財源確保という目的をはっきりとした消費税の引き上げには賛成","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","どちらかと言えば改正すべきでない","",NA,NA,"反対","どちらかと言えば反対","どちらとも言えない","賛成","賛成","反対","どちらとも言えない","賛成","賛成","どちらかと言えば賛成","賛成","どちらとも言えない",NA
"31",31,"谷","建夫","返送あり","男","62歳",NA,NA,"北海道",10,"共産党","新","小選挙区のみ","落選","全く評価できない","国民負担増、社会保障の給付減ばかり、地方財政も削減し地方自治体も困難にしてきた。よいことは何もなし。","支持しない","国民に痛みを押しつける「構造改革」をいっそう推進。靖国問題など侵略戦争を正当化する立場をとり外交を行き詰まらせている。","その他",NA,"志位和夫","反対","理解できる","3事業とも国営を堅持すべきだ","その他","保険料と税金","反対","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","改正すべきでない","",NA,NA,"反対","反対","反対","どちらとも言えない","反対","反対","反対","賛成","どちらかと言えば賛成","どちらとも言えない","反対","賛成","最も革新"
"32",32,"山下","貴史","返送あり","男","52歳","反対",NA,"北海道",10,"無所属","前","小選挙区のみ","落選","どちらかと言えば評価できない","財政再建、景気回復など十分な成果が上がってなく、一方で中央と地方、大企業と中小零細企業間で格差が拡大している。","支持できないところが多い","叡知を結集して政府を進めるという姿勢に欠ける","その他",NA,"","反対","理解できる","郵政公社の経営状況を見極めたうえで判断すべきだ","将来的には3つとも一元化すべきだ","保険料と税金","どちらかと言えば反対","",NA,"わからない","自衛のためのやむを得ない戦争だった","今年末の派遣期限が来たら撤退すべきだ","わからない","改正すべきだ","前文と9条","　　年後","5年後","どちらかと言えば賛成","どちらかと言えば反対","どちらとも言えない","賛成","どちらかと言えば賛成","どちらかと言えば反対","どちらとも言えない","どちらかと言えば賛成","どちらかと言えば賛成","どちらとも言えない","どちらとも言えない","どちらかと言えば反対",NA
"33",33,"中川","昭一","返送あり","男","52歳",NA,"北海道","北海道",11,"自民党","前","重複あり","小選挙区で当選","評価できる点が多い","小泉改革は着々と進んでおり、道路関係４公団民営化、構造改革特区や規制改の進展で経済活性化実現している。不良債権問題はトンネルを抜け出し、GDPは実質〓〓ともにプラス転じて最悪時5.4%だった失業率は4.2%まで改善した","大いに支持する","","自民・公明連立",NA,"小泉純一郎","賛成","わからない","3事業ともになるべく早く民営すべきだ","その他","保険料と税金",NA,"",NA,"反対","どちらとも言えない","必要なら来年以降も派遣を継続すべきだ","わからない","改正すべきだ","安全保障分野","　　年後","3年後","賛成","賛成","どちらとも言えない","賛成","どちらとも言えない",NA,NA,"どちらとも言えない","どちらとも言えない","どちらかと言えば反対","どちらとも言えない","どちらかと言えば反対",NA
"34",34,"石川","知裕","返送あり","男","32歳",NA,"北海道","北海道",11,"民主党","新","重複あり","落選","全く評価できない","地域切り捨ての改革を実行してきた","支持しない","","民主単独","民主党を含むあらゆる政党との連立を検討する","岡田克也","反対","わからない","郵政公社の経営状況を見極めたうえで判断すべきだ","3つともできるだけ速やかに民営化すべきだ","全額税金","どちらかと言えば反対","","首相は靖国神社に参拝すべきではない","賛成","誤った国策に基づく侵略戦争だった","できるだけ早期に撤退すべきだ","女性天皇も認めるべきだ","どちらかと言えば改正すべきでない","",NA,NA,"反対","どちらとも言えない","どちらとも言えない","どちらかと言えば反対","どちらかと言えば反対","反対","どちらかと言えば反対","どちらとも言えない","どちらかと言えば賛成","どちらかと言えば賛成","どちらとも言えない","賛成",NA
