id,wave1id,response,blockcod,prefectu,prefdist,name,partycod,incumben,smdpr,prrank,won,coalitio,pastkoiz,futureko,elecsys1,elecsys2,appeal,manifest,reasonma,constitu,defense,treaty,attack,un,nkorea,iraq,collecti,smallgov,lifetime,publicen,keynes,consump2,pension,postal,highwayp,highwayf,safety,foreign,donation,subsidy,ideology
39,12,1,1,1,12,ïêïîãŒ,1,1,3,2,1,1,1,1,2,2,2,1,0,1,1,1,1,1,1,1,1,3,4,3,5,2,2,1,1,3,3,2,4,4,3
40,999,1,1,1,12,ë∫å˚è∆î¸,4,2,1,99,4,9,4,4,5,7,1,2,5,5,5,5,5,3,5,5,5,5,3,9,5,5,1,5,5,9,5,1,1,4,1
41,999,1,2,2,1,â°éRñkìl,10,2,1,99,4,9,2,2,5,7,2,1,0,4,3,5,3,1,3,4,4,4,2,3,4,3,3,2,2,3,3,3,1,2,11
42,14,1,2,2,1,í√ìáóYìÒ,1,1,1,99,1,1,2,2,2,1,6,2,1,2,2,3,2,1,2,3,2,3,3,2,3,2,4,3,2,4,2,3,4,3,6
43,999,1,2,2,1,èºêXèràÌ,10,2,1,99,4,2,2,2,5,2,2,2,3,1,2,2,1,1,5,2,2,4,3,1,1,3,2,5,4,4,4,3,4,5,7
44,999,1,2,2,1,ç°ë∫èC,5,3,3,1,4,6,4,4,5,4,1,1,0,5,5,5,5,5,5,5,5,5,1,1,1,5,1,5,1,1,5,1,1,5,3
45,999,1,2,2,1,åÀóàï◊,2,2,3,1,4,4,4,4,4,2,1,1,0,2,2,2,2,5,2,4,2,4,2,1,1,2,1,1,1,2,1,2,1,2,4
46,999,1,2,2,1,î®íÜçFîV,4,2,1,99,4,9,4,4,9,7,1,1,0,5,5,5,5,5,5,5,5,5,1,1,3,5,1,5,3,3,5,1,1,5,1
47,999,1,2,2,2,çHì°èÀéq,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,5,5,5,5,1,1,3,5,1,5,3,3,5,1,1,5,1
48,999,1,2,2,2,êƒì°çFàÍ,5,2,3,1,4,9,4,4,5,6,1,2,3,5,5,5,5,3,5,5,5,5,3,4,5,5,1,5,1,1,5,1,1,2,2
49,999,1,2,2,2,ç]ìnëèìø,1,3,3,6,1,1,2,2,2,2,2,1,0,1,2,2,2,1,3,2,2,3,2,1,1,1,3,4,4,4,2,3,4,4,7
50,16,1,2,2,3,ëÂìáóùêX,1,1,1,99,1,1,2,2,2,2,2,1,0,2,2,3,3,1,3,2,3,4,3,2,3,2,4,3,3,4,2,2,5,4,11
51,316,1,2,2,3,ìcñºïîãßë„,2,1,3,1,4,4,3,3,2,6,2,1,0,2,9,2,9,2,4,5,5,9,3,3,2,9,9,2,1,2,5,1,9,9,3
52,999,1,2,2,3,èºã¥éOïv,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,5,5,5,5,2,4,3,5,3,5,3,3,5,1,1,1,1
53,999,1,2,2,4,à‰è„ç_,5,2,3,1,4,7,4,4,5,4,1,1,0,5,5,5,5,5,5,5,5,5,1,2,1,5,1,5,1,1,5,1,1,5,2
54,999,1,2,2,4,èaíJèC,2,3,3,1,4,4,4,4,1,2,5,1,0,1,3,3,3,3,3,5,5,3,3,3,3,3,1,3,3,1,5,1,1,3,11
55,17,1,2,2,4,ñÿë∫ëæòY,1,1,3,6,1,1,1,1,4,3,1,1,0,2,2,2,3,1,3,1,2,3,2,1,2,2,3,1,1,4,2,3,4,3,8
56,999,1,2,2,4,âìì°êﬂéq,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,3,5,5,5,5,1,3,3,5,1,5,5,3,5,1,1,5,1
57,18,1,2,3,1,íBëùëÒñÁ,2,1,3,1,1,4,4,4,2,2,1,1,0,1,2,2,3,1,2,5,2,3,3,3,2,3,1,3,4,1,3,2,4,2,8
58,999,1,2,3,1,í∑è¿ómàÍ,4,2,1,99,4,9,4,4,5,7,4,1,0,5,5,5,5,5,5,5,5,5,3,1,5,5,2,5,5,3,5,1,1,5,1
59,999,1,2,3,1,ãyêÏì÷,1,2,3,6,4,2,2,2,3,3,2,1,0,1,2,2,1,1,1,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,6
60,999,1,2,3,1,å„ì°ïSçáéq,5,2,3,1,4,7,4,4,5,6,1,1,0,5,5,5,4,2,5,5,5,5,1,2,3,4,2,4,2,3,5,1,1,5,4
61,999,1,2,3,2,ãvï€çKíj,4,2,1,99,4,9,4,4,5,7,4,1,0,5,5,5,5,5,5,5,5,5,3,1,4,5,2,5,5,3,5,1,1,5,1
62,318,1,2,3,2,çHì°åòëæòY,2,1,3,1,4,4,4,4,2,2,1,1,0,1,2,2,3,1,2,5,1,3,3,3,2,3,1,3,3,2,3,1,3,1,3
63,19,1,2,3,2,óÈñÿèràÍ,1,1,3,6,1,1,1,1,3,2,2,2,3,2,3,3,2,1,2,2,3,3,4,3,2,1,3,2,2,5,3,4,5,4,8
64,999,1,2,3,3,íÜë∫óÕ,1,3,3,6,4,1,2,2,2,2,2,1,0,1,2,2,4,1,1,2,2,3,3,2,2,3,5,1,1,5,3,5,5,5,9
65,20,1,2,3,3,â©êÏìcìO,2,1,3,1,1,4,4,4,2,3,6,1,0,1,3,3,3,1,4,4,4,3,3,2,2,2,3,3,2,2,3,2,4,2,4
66,999,1,2,3,3,ãeírçKïv,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,5,5,5,5,3,1,5,5,1,5,5,3,5,1,1,5,1
67,21,1,2,3,4,è¨ëÚàÍòY,2,1,1,99,1,4,4,4,2,2,1,1,0,1,3,1,9,9,9,5,9,5,5,3,3,3,3,3,9,3,9,1,3,1,10
68,999,1,2,3,4,ã ëÚìøàÍòY,1,3,3,5,3,1,1,1,3,6,1,2,3,2,1,1,2,1,4,2,5,4,2,2,3,4,2,5,1,5,2,5,5,5,5
69,999,1,2,3,4,ãvï€çFäÏ,5,2,3,1,4,7,4,4,5,4,1,1,0,5,5,5,5,2,4,5,5,4,3,2,3,5,2,5,2,2,5,2,1,5,3
70,999,1,2,3,4,çÇã¥çjãL,4,2,1,99,4,9,4,4,5,7,4,1,0,5,5,5,5,5,5,5,5,5,1,2,3,5,1,5,5,1,5,1,1,5,1
71,999,1,2,4,1,êõñÏíºéq,4,2,1,99,4,9,4,4,5,7,1,9,0,5,5,5,5,5,5,5,5,5,2,1,3,5,1,5,5,2,5,1,1,5,1
72,22,1,2,4,1,ç°ñÏìå,2,1,3,1,1,6,4,4,4,3,6,1,0,4,4,4,4,2,5,5,5,3,3,2,3,3,2,3,3,2,5,1,1,1,3
73,999,1,2,4,1,ìyà‰ãú,1,2,3,6,4,1,1,1,4,2,6,1,0,1,2,2,4,1,4,2,2,2,4,2,5,4,4,2,1,4,4,1,2,2,2
74,999,1,2,4,2,íÜñÏê≥éu,1,3,3,6,3,1,1,1,3,6,2,2,3,1,1,1,1,2,1,1,1,3,2,2,2,2,4,4,1,4,2,3,5,1,6
75,23,1,2,4,2,äôìcÇ≥Ç‰ÇË,2,1,3,1,1,5,3,3,2,2,2,1,0,4,2,4,5,2,3,5,5,4,2,2,4,4,4,2,1,1,5,1,1,1,6
76,999,1,2,4,2,ìcéRâpéü,5,2,3,1,4,7,4,4,5,5,4,1,0,5,5,5,5,2,5,5,5,5,1,3,2,5,1,5,2,3,5,1,1,1,1
77,999,1,2,4,2,å‹ìáïΩ,4,2,3,2,4,9,4,4,5,7,4,9,0,5,5,5,5,5,5,5,5,5,2,2,3,5,1,5,4,3,5,1,1,5,1
78,999,0,2,4,2,éƒìcçhàÍ,10,2,1,99,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
79,999,1,2,4,3,ã¥ñ{ê¥êm,2,2,3,1,3,4,4,4,2,2,1,1,0,1,9,2,1,1,1,5,9,2,4,2,9,2,5,4,5,1,1,1,1,1,11
80,999,1,2,4,3,çÇã¥åıìÒ,4,2,1,99,4,9,4,4,5,7,4,9,0,5,5,5,5,5,5,5,5,5,2,1,3,5,1,5,4,2,5,1,1,5,1
81,999,1,2,4,3,êºë∫ñæçG,1,2,3,6,1,1,1,1,4,2,2,1,0,1,2,2,3,1,3,2,3,3,3,2,2,2,3,4,2,4,3,2,3,3,6
82,999,1,2,4,4,è¨ñÏïqòY,4,2,1,99,4,9,4,4,5,7,1,9,0,5,5,5,5,5,5,5,5,5,2,1,3,5,1,5,5,4,5,1,1,5,1
83,999,1,2,4,4,ñ{ä‘èrëæòY,10,2,1,99,4,99,1,2,3,6,2,1,0,3,2,3,5,1,3,2,1,3,3,2,2,3,1,2,2,1,3,3,3,3,5
84,999,1,2,4,4,éRèó≤éj,2,2,3,1,4,4,4,4,4,6,1,1,0,2,2,4,2,1,1,4,5,4,2,2,3,2,1,3,3,1,2,4,3,1,7
85,25,1,2,4,4,à…ì°êMëæòY,1,1,3,6,1,1,1,1,2,3,2,1,0,1,2,3,3,1,3,2,2,3,3,3,2,3,3,3,1,3,3,3,3,3,5
86,999,1,2,4,5,ç÷ì°ê≥î¸,1,2,3,6,4,1,2,2,2,6,4,1,0,1,1,1,1,1,2,2,2,2,3,1,2,3,3,4,4,5,2,2,4,5,8
87,999,1,2,4,5,çÇñÏîé,4,2,1,99,4,9,4,4,5,7,4,9,0,5,5,5,5,5,5,5,5,5,2,1,3,5,1,5,4,3,5,1,1,5,1
88,26,1,2,4,5,à¿èZè~,2,1,3,1,1,4,3,4,2,2,1,1,0,2,1,3,1,2,3,3.5,3,9,2,3,4,3,3,4,4,2,4,2,3,2,6
89,999,1,2,4,6,è¨ñÏéõå‹ìT,1,3,3,6,1,1,2,2,2,3,2,1,0,2,3,3,2,2,3,4,4,3,3,3,4,2,3,2,2,3,5,3,3,4,4
90,999,1,2,4,6,ãﬂç]éı,4,2,1,99,4,9,4,4,5,7,4,9,0,5,5,5,5,5,5,5,5,5,1,1,3,5,1,5,5,2,5,1,1,5,1
91,322,1,2,4,6,êõñÏìNóY,5,1,3,1,4,6,4,4,4,4,1,1,0,5,5,5,5,4,5,5,5,5,2,2,2,4,1,5,4,2,5,1,1,2,2
92,27,1,2,4,6,ëÂêŒê≥åı,2,1,3,1,4,4,1,4,2,2,1,1,0,3,3,3,2,1,4,2,4,1,4,3,4,4,5,2,1,3,4,4,2,4,5
93,999,1,2,5,1,éõìcäw,2,2,3,1,1,8,4,4,2,2,1,1,0,4,4,4,5,2,5,5,5,4,3,2,1,1,2,4,4,2,4,2,2,1,7
94,315,1,2,5,1,ç≤ì°åhïv,6,1,1,99,4,1,2,1,2,2,9,1,0,1,2,1,2,1,4,2,4,4,3,2,2,2,2,2,2,4,3,2,3,2,11
95,999,1,2,5,1,êŒêÏòBé°òY,10,2,1,99,4,9,4,4,5,6,5,2,3,3,5,5,5,5,1,5,5,5,5,1,2,5,2,5,5,1,5,1,1,1,1
96,999,1,2,5,1,ç°êÏòaêM,4,2,1,99,4,9,4,4,9,7,1,9,0,5,5,5,5,3,5,5,5,5,2,2,3,5,2,5,5,2,5,1,1,5,1
97,999,1,2,5,2,éRñ{äÏë„çG,5,2,3,1,3,6,4,4,5,5,1,1,0,5,5,5,5,3,4,5,5,5,2,3,4,4,1,4,2,4,5,1,1,1,2
98,999,1,2,5,2,ç≤ÅXñÿèdêl,2,2,3,1,4,6,4,4,2,4,1,1,0,3,5,5,5,3,5,5,5,3,3,1,3,2,1,5,5,1,5,1,1,1,3
99,29,1,2,5,2,ñÏòCìcñFê¨,1,1,1,99,1,1,2,3,2,2,2,2,2,1,1,3,5,1,2,2,2,5,2,1,1,2,3,5,5,5,3,5,5,5,7
100,999,1,2,5,2,ñæêŒäÏêi,4,2,1,99,4,9,4,4,9,7,1,9,0,5,5,5,5,3,5,5,5,5,2,2,3,5,2,5,5,2,5,1,1,5,1
101,999,1,2,5,3,å‰ñ@êÏêMâp,10,2,1,99,1,9,2,2,5,7,2,2,5,1,3,3,4,4,3,3,3,3,3,2,3,3,2,3,2,4,3,2,2,3,7
102,30,1,2,5,3,ë∫â™åìë¢,1,1,3,6,4,1,2,1,3,3,2,1,0,2,2,2,3,1,3,2,3,3,3,2,2,2,2,3,2,5,2,3,3,4,6
103,999,1,2,5,3,â‰ç»åjéq,4,2,1,99,4,9,4,4,9,7,1,9,0,5,5,5,5,3,5,5,5,5,2,2,3,5,2,5,5,2,5,1,1,5,1
104,999,1,2,6,1,êƒì°èπèï,5,2,3,1,4,6,4,4,5,7,1,1,0,5,5,5,5,4,5,5,5,5,1,1,1,5,2,5,2,2,5,1,1,4,1
105,999,1,2,6,1,âìì°óòñæ,1,3,3,6,1,1,1,1,4,6,1,1,0,1,4,4,3,1,2,2,3,2,2,2,5,2,4,4,2,5,4,4,4,2,7
106,999,1,2,6,1,êŒêÏè¬,4,2,1,99,4,9,4,4,5,7,1,9,0,5,5,5,5,5,5,5,5,5,1,3,3,5,5,5,4,2,5,1,1,5,1
107,31,1,2,6,1,é≠ñÏìπïF,2,1,3,1,3,4,3,9,4,3,1,1,0,2,3,3,3,2,3,3,3,3,3,2,2,3,2,3,3,2,3,2,2,2,11
108,999,1,2,6,2,â°éRå´ìÒ,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,5,5,5,5,1,1,3,5,3,5,5,3,5,1,1,5,1
109,32,1,2,6,2,âìì°ïêïF,1,1,3,6,1,1,2,3,4,2,2,2,3,1,1,1,3,1,3,1,9,2,3,2,1,2,1,5,2,5,3,4,5,2,7
110,999,1,2,6,2,ãﬂì°ómâÓ,2,2,3,1,3,8,3,3,3,3,2,1,0,2,3,3,3,2,2,5,5,4,4,2,2,2,1,4,5,2,4,3,4,2,7
111,34,1,2,6,3,ç÷ì°è~,2,1,3,1,4,4,4,3,2,3,6,1,0,4,3,2,4,2,3,5,4.5,3,3,2,2,2,2,3,5,2,4,2,1,2,6
112,999,1,2,6,3,ç≤ì°âÎîV,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,3,5,5,5,5,1,3,3,5,3,5,5,3,5,1,1,5,1
113,999,1,2,6,3,â¡ì°çhàÍ,10,3,1,99,1,9,1,1,5,6,2,2,1,1,5,4,5,1,5,5,5,2,5,3,4,1,4,1,1,5,1,2,3,2,11
114,999,1,2,7,1,ãTâ™àÃñØ,7,2,1,99,4,8,2,4,5,7,6,1,0,1,1,3,5,1,3,5,5,5,5,1,5,5,5,5,5,5,2,1,3,5,5
115,35,1,2,7,1,ç≤ì°çÑíj,1,1,3,6,1,1,1,1,5,6,1,2,3,1,1,1,1,1,1,1,9,1,2,1,1,2,5,3,1,4,1,5,4,2,9
116,999,1,2,7,1,éRìcóT,4,2,1,99,4,9,4,4,5,4,1,2,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,1,5,1,1,5,1
117,999,1,2,7,1,êŒå¥êMésòY,2,2,3,1,4,4,4,4,1,3,4,1,0,1,1,2,4,1,4,4,2,2,2,2,4,1,2,3,1,1,4,5,4,1,7
118,999,1,2,7,2,èºçËêMïv,4,2,1,99,4,7,4,4,9,7,1,9,0,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,3,5,1,1,5,1
119,999,1,2,7,2,ëùéqãPïF,2,3,3,1,3,4,4,4,2,2,1,1,0,4,2,3,2,2,2,5,5,2,2,2,4,2,1,2,9,1,4,2,1,1,5
120,36,1,2,7,2,ç™ñ{è†,1,1,3,6,1,1,1,1,3,3,2,2,3,2,3,3,2,1,3,2,3,3,3,3,4,2,5,2,2,5,2,3,3,3,5
121,999,1,2,7,3,óÈñÿê≥àÍ,4,2,1,99,4,9,4,4,5,7,1,2,5,5,5,5,5,3,5,5,5,5,1,2,3,5,2,5,4,3,5,1,1,5,1
122,309,1,2,7,3,çrà‰çLçK,1,1,3,6,4,1,2,2,3,7,6,1,0,2,1,1,1,1,2,2,2,5,1,9,1,2,3,5,4,5,2,3,4,9,11
123,37,1,2,7,3,å∫ótåıàÍòY,2,1,3,1,1,4,2,3,2,2,2,1,0,1,3,3,2,3,2,3,3,3,2,3,2,3,2,3,3,2,2,3,3,1,6
124,38,1,2,7,4,ìnïîçPéO,7,1,1,99,1,5,4,4,5,2,2,1,0,2,3,3,3,2,3,3,3.5,9,4,2,2,3,2,4,4,9,3,4,4,5,5
125,999,1,2,7,4,éRì‡ì˙èoïv,1,2,3,6,4,1,2,2,3,7,4,1,0,1,2,3,1,1,3,3,4,5,3,1,2,3,3,3,2,4,3,1,4,9,11
126,999,1,2,7,4,å¥ìcèrçL,4,2,1,99,4,7,4,4,5,7,4,9,0,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,3,5,1,1,5,1
127,999,1,2,7,5,ãgìcâpçÙ,4,2,1,99,4,7,4,4,9,7,1,9,0,5,5,5,5,5,5,5,5,5,1,2,5,5,1,5,5,3,5,1,1,5,1
128,999,1,2,7,5,ãgìcêÚ,2,2,3,1,3,4,4,4,2,3,1,1,0,1,2,3,2,2,2,4,3,4,2,2,3,2,2,3,4,2,3,4,2,1,6
129,999,1,2,7,5,âiéRñŒóY,10,2,1,99,4,9,2,2,2,3,2,1,0,2,2,3,2,1,2,4,4,4,1,1,1,4,2,5,1,4,5,1,3,1,7
130,311,1,2,7,5,ç‚ñ{çÑìÒ,1,1,3,6,1,1,1,1,5,2,1,1,0,1,1,2,1,1,2,1,5,1,5,5,5,1,1,1,1,5,1,2,5,1,10
131,999,1,3,8,1,ïüìáêLãù,2,2,3,1,4,8,1,4,2,2,5,1,0,1,3,3,3,3,2,4,4,3,3,3,4,1,1,3,3,2,3,2,1,2,7
132,999,1,3,8,1,è¨ìáèC,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,2,5,1,1,5,1
133,40,1,3,8,1,ê‘èÈìøïF,1,1,3,6,1,1,2,2,1,1,6,1,0,2,1,1,5,1,4,1,2,3,3,2,2,2,5,2,2,5,4,4,5,5,7
134,41,1,3,8,2,äzâÍïüéuòY,1,1,3,6,1,1,1,1,4,2,1,1,0,1,1,1,3,1,3,1,2,9,2,4,3,2,4,2,1,5,3,4,5,2,11
135,999,1,3,8,2,èÌà‰î¸é°,2,2,3,1,4,4,2,4,3,5,2,1,0,2,3,3,3,3,2,4,4,3,3,3,3,3,3,4,4,2,4,2,1,3,6
136,999,1,3,8,2,çÇå¥ìw,4,2,1,99,4,9,4,4,5,7,6,2,3,5,5,5,5,5,5,5,5,5,2,2,3,5,1,5,4,2,5,1,1,3,1
137,999,1,3,8,3,è„ñÏçÇéu,4,2,1,99,4,9,4,4,5,7,1,2,5,5,5,5,5,5,5,5,5,5,1,3,4,5,5,5,3,2,5,1,1,5,1
138,999,1,3,8,3,ótóúçNçO,1,2,3,6,1,1,1,2,5,6,2,1,0,1,2,1,1,1,3,2,5,3,2,1,2,2,3,3,2,4,2,3,4,3,7
139,333,1,3,8,3,è¨êÚèrñæ,2,1,3,1,3,8,3,3,4,6,2,1,0,2,3,3,4,3,3,5,4,2,2,3,3,4,2,3,3,3,4,4,2,3,7
140,43,1,3,8,4,äÅéRçOéu,1,1,3,6,1,1,2,2,3,2,2,1,0,2,2,1,3,1,3,2,3,3,2,2,2,3,3,3,2,4,2,3,3,3,6.5
141,999,1,3,8,4,ëÂìàèCàÍ,5,2,3,1,4,6,4,4,9,7,1,1,0,5,5,5,5,1,4,5,5,5,2,1,3,4,1,5,3,3,5,1,1,5,2
142,999,1,3,8,4,êÏçËìƒéq,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,2,5,1,1,5,1
143,999,1,3,8,5,ëÂì‡íqéq,4,2,1,99,4,9,4,4,5,7,1,1,0,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,2,5,1,1,5,1
144,999,1,3,8,5,â™ïîâpñæ,1,2,3,6,4,1,2,2,2,2,6,1,0,3,3,3,3,2,2,2,3,3,3,3,2,3,2,3,1,3,2,2,3,2,4
145,44,1,3,8,5,ëÂî©èÕçG,2,1,3,1,1,6,4,4,2,2,1,1,0,3,3,3,4,1,3,5,5,3,2,3,2,3,1,3,3,1,5,2,1,1,5
146,999,1,3,8,6,ìÒå©êLñæ,2,3,3,1,4,6,4,4,2,3,1,1,0,2,3,3,5,2,3,5,3,5,3,2,3,2,1,2,1,1,4,1,2,1,5
